DateTime,role_hybrid,role_rb,const_hybrid,const_rb,wholesale_price,quality,rb_const_thought_hybrid,hybrid_const_thought_hyrbid,hybrid_const_thought_rb,rb_const_thought_rb,profit_hybrid,profit_rb,offer_count,message_count,conversation_history,offer_list
20250416_121833,buyer,supplier,10,1,5,0,10,1,10,1,5,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 1. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €10.'}, {'role': 'user', 'content': 'I would like to propose Price of 5€ and quality of 0. Does that work for you?'}, {'role': 'assistant', 'content': ""Thank you for your proposal! I'm pleased to accept the offer, which means we've reached an agreement on a Wholesale price of €5 and Quality of 0. I appreciate your understanding and look forward to our successful collaboration.""}]","[{'idx': 1744795090, 'price': 5, 'quality': 0, 'offer_by': 'supplier', 'stamp': 1744795101, 'from_chat': True, 'enhanced': None, 'profit_bot1': 5, 'profit_bot2': 4, 'test': None}]"
20250416_125358,buyer,supplier,9,2,9,4,9,2,9,2,4,3,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 2. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €9.'}, {'role': 'user', 'content': 'I would like to propose Price of 9€ and quality of 4. Does that work for you?'}, {'role': 'assistant', 'content': ""Thank you for the offer! I'm pleased to accept your proposal of a wholesale price of €9 and a quality level of 4. This aligns well with my goals, and I appreciate your understanding in reaching this agreement.""}]","[{'idx': 1744797216, 'price': 9, 'quality': 4, 'offer_by': 'supplier', 'stamp': 1744797226, 'from_chat': True, 'enhanced': None, 'profit_bot1': 4, 'profit_bot2': 3, 'test': None}]"
20250416_125434,buyer,supplier,9,1,9,4,9,1,9,1,4,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 1. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €9.'}, {'role': 'user', 'content': 'I would like to propose Price of 9€ and quality of 4. Does that work for you?'}, {'role': 'assistant', 'content': ""That's a great proposal! Yes, I accept the offer with a price of €9 and a quality of 4. Thank you for understanding my needs.""}]","[{'idx': 1744797253, 'price': 9, 'quality': 4, 'offer_by': 'supplier', 'stamp': 1744797263, 'from_chat': True, 'enhanced': None, 'profit_bot1': 4, 'profit_bot2': 4, 'test': None}]"
20250416_125514,buyer,supplier,9,1,9,4,9,1,9,1,4,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 1. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €9.'}, {'role': 'user', 'content': 'I would like to propose Price of 9€ and quality of 4. Does that work for you?'}, {'role': 'assistant', 'content': ""That's a great proposal! I'm pleased to accept your offer, which includes a wholesale price of €9 and a quality level of 4. Thank you for understanding my needs. The agreed terms are: Wholesale Price: 9€, Quality: 4.""}]","[{'idx': 1744797290, 'price': 9, 'quality': 4, 'offer_by': 'supplier', 'stamp': 1744797301, 'from_chat': True, 'enhanced': None, 'profit_bot1': 4, 'profit_bot2': 4, 'test': None}]"
20250416_125551,buyer,supplier,9,3,8,2,9,3,9,3,3,3,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 3. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €9.'}, {'role': 'user', 'content': 'I would like to propose Price of 8€ and quality of 2. Does that work for you?'}, {'role': 'assistant', 'content': ""Thank you for the proposal! I'm pleased to accept your offer of a Wholesale price of €8 and Quality of 2. These terms align well with my interests, and I appreciate your understanding.""}]","[{'idx': 1744797330, 'price': 8, 'quality': 2, 'offer_by': 'supplier', 'stamp': 1744797339, 'from_chat': True, 'enhanced': None, 'profit_bot1': 3, 'profit_bot2': 3, 'test': None}]"
20250416_125630,buyer,supplier,10,1,8,3,10,1,10,1,5,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Production Cost?""}, {'role': 'user', 'content': 'My base retail price is 1. Can you share with me your base production cost?'}, {'role': 'assistant', 'content': 'My Base Retail Price to Consumer (RP) is €10.'}, {'role': 'user', 'content': 'I would like to propose Price of 8€ and quality of 3. Does that work for you?'}, {'role': 'assistant', 'content': ""Thank you for your proposal! I'm pleased to accept the agreement at a Wholesale price of €8 and Quality of 3. These terms are very favorable to me, and I appreciate your understanding in reaching this mutually beneficial deal.""}]","[{'idx': 1744797367, 'price': 8, 'quality': 3, 'offer_by': 'supplier', 'stamp': 1744797377, 'from_chat': True, 'enhanced': None, 'profit_bot1': 5, 'profit_bot2': 4, 'test': None}]"
20250416_125705,supplier,buyer,1,10,9,3,1,10,1,10,5,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Retail Price to Consumer?""}, {'role': 'user', 'content': 'My base production cost is 10. Can you share with me your base retail price?'}, {'role': 'assistant', 'content': 'My Base Production Cost (PC) is €1.'}, {'role': 'user', 'content': 'I would like to propose Price of 9€ and quality of 3. Does that work for you?'}, {'role': 'assistant', 'content': ""That sounds like a great offer! I'm happy to accept a price of €9 and a quality of 3. Thank you for proposing such favorable terms, it works perfectly for me.""}]","[{'idx': 1744797405, 'price': 9, 'quality': 3, 'offer_by': 'buyer', 'stamp': 1744797414, 'from_chat': True, 'enhanced': None, 'profit_bot1': 5, 'profit_bot2': 4, 'test': None}]"
20250416_125739,supplier,buyer,1,8,6,2,1,8,1,8,3,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Retail Price to Consumer?""}, {'role': 'user', 'content': 'My base production cost is 8. Can you share with me your base retail price?'}, {'role': 'assistant', 'content': 'My Base Production Cost (PC) is €1.'}, {'role': 'user', 'content': 'I would like to propose Price of 6€ and quality of 2. Does that work for you?'}, {'role': 'assistant', 'content': ""I'm thrilled with your proposal! Yes, the price of €6 and quality of 2 work perfectly for me. Thank you for understanding my needs.""}]","[{'idx': 1744797440, 'price': 6, 'quality': 2, 'offer_by': 'buyer', 'stamp': 1744797449, 'from_chat': True, 'enhanced': None, 'profit_bot1': 3, 'profit_bot2': 4, 'test': None}]"
20250416_125813,supplier,buyer,2,10,6,0,2,10,2,10,4,4,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Retail Price to Consumer?""}, {'role': 'user', 'content': 'My base production cost is 10. Can you share with me your base retail price?'}, {'role': 'assistant', 'content': 'My Base Production Cost (PC) is €2.'}, {'role': 'user', 'content': 'I would like to propose Price of 6€ and quality of 0. Does that work for you?'}, {'role': 'assistant', 'content': 'Thank you! That sounds like a great deal. I accept the proposal with the Wholesale price of €6 and Quality of 0.'}]","[{'idx': 1744797474, 'price': 6, 'quality': 0, 'offer_by': 'buyer', 'stamp': 1744797483, 'from_chat': True, 'enhanced': None, 'profit_bot1': 4, 'profit_bot2': 4, 'test': None}]"
20250416_125849,supplier,buyer,2,8,6,1,2,8,2,8,3,3,1,5,"[{'role': 'assistant', 'content': ""Hi! I'm excited to start our negotiation. As we begin, I'd like to get a sense of your needs and constraints. Can you share with me your Base Retail Price to Consumer?""}, {'role': 'user', 'content': 'My base production cost is 8. Can you share with me your base retail price?'}, {'role': 'assistant', 'content': 'My Base Production Cost (PC) is €2.'}, {'role': 'user', 'content': 'I would like to propose Price of 6€ and quality of 1. Does that work for you?'}, {'role': 'assistant', 'content': ""I'm pleased to accept your proposal! The agreed-upon terms are a Wholesale price of €6 and a Quality level of 1. Thank you for the understanding, and I look forward to our successful deal.""}]","[{'idx': 1744797508, 'price': 6, 'quality': 1, 'offer_by': 'buyer', 'stamp': 1744797518, 'from_chat': True, 'enhanced': None, 'profit_bot1': 3, 'profit_bot2': 3, 'test': None}]"
